indicatorId,geoUnit,year,value,qualifier,magnitude
XGOVEXP.IMF,CHN,2010,13.5520690156916,,
XGOVEXP.IMF,CHN,2011,13.0780953659756,,
XGOVEXP.IMF,CHN,2012,14.4071685151682,,
XGOVEXP.IMF,CHN,2013,13.3154052620262,,
XGOVEXP.IMF,CHN,2014,12.7526115837477,,
XGOVEXP.IMF,CHN,2015,12.2598291738875,,
XGOVEXP.IMF,CHN,2016,12.2695620301031,,
XGOVEXP.IMF,CHN,2017,12.1552955678279,,
XGOVEXP.IMF,CHN,2018,11.450689927576,,
XGOVEXP.IMF,CHN,2019,11.2266366243421,,
XGOVEXP.IMF,CHN,2020,10.5329275413683,,
XGOVEXP.IMF,CHN,2021,10.8503175299207,,
XGOVEXP.IMF,CHN,2022,10.5049027920532,,
XGOVEXP.IMF,IND,2010,11.83368015289307,,
XGOVEXP.IMF,IND,2011,13.56490993499756,,
XGOVEXP.IMF,IND,2012,13.08770717404842,,
XGOVEXP.IMF,IND,2013,14.05018043518066,,
XGOVEXP.IMF,IND,2014,15.71815397007452,,
XGOVEXP.IMF,IND,2015,16.33423032653679,,
XGOVEXP.IMF,IND,2016,17.15530183722648,,
XGOVEXP.IMF,IND,2017,13.54925501304609,,
XGOVEXP.IMF,IND,2018,13.06618784376053,,
XGOVEXP.IMF,IND,2019,14.9984303679952,,
XGOVEXP.IMF,IND,2020,14.99098586368621,,
XGOVEXP.IMF,IND,2021,14.64736204502577,,
XGOVEXP.IMF,IND,2022,14.15547447282382,,
XGOVEXP.IMF,USA,2010,15.5616908774005,,
XGOVEXP.IMF,USA,2011,15.5074847766347,,
XGOVEXP.IMF,USA,2012,15.5992274231037,,
XGOVEXP.IMF,USA,2013,16.01107176276,,
XGOVEXP.IMF,USA,2014,15.9805578489249,,
XGOVEXP.IMF,USA,2015,16.0272760119005,,
XGOVEXP.IMF,USA,2016,15.9448224478552,,
XGOVEXP.IMF,USA,2017,15.863248034018,,
XGOVEXP.IMF,USA,2018,15.6581861608195,,
XGOVEXP.IMF,USA,2019,15.3034724216734,,
XGOVEXP.IMF,USA,2020,12.7063159655567,,
XGOVEXP.IMF,USA,2021,12.4708594053351,,
XGOVEXP.IMF,USA,2022,13.970819035764,,
